route_id,service_id,trip_id,trip_headsign,direction_id,shape_id
S92,YU_B1-Weekday,YU_B1-Weekday-043400_S6292_4,LIMITED ST GEORGE FERRY,0,S920070
S62,YU_B1-Weekday,YU_B1-Weekday-099300_S6292_17,SI COLLEGE via VICTORY,1,S620534
S62,YU_B1-Weekday,YU_B1-Weekday-044000_S6292_5,ST GEORGE FERRY via VICTORY,0,S620536
SIM7,YU_B1-Weekday,YU_B1-Weekday-033000_MISC_114,GREENWICH VILLAGE via WEST ST via 6 AV,0,SIM70082
SIM7,YU_B1-Weekday,YU_B1-Weekday-037800_SIM7_5,GREENWICH VILLAGE via WEST ST via 6 AV,0,SIM70082
SIM7,YU_B1-Weekday,YU_B1-Weekday-039000_SIM7_6,GREENWICH VILLAGE via WEST ST via 6 AV,0,SIM70082
SIM7,YU_B1-Weekday,YU_B1-Weekday-040500_SIM7_7,GREENWICH VILLAGE via WEST ST via 6 AV,0,SIM70082
SIM7,YU_B1-Weekday,YU_B1-Weekday-043500_MISC_159,GREENWICH VILLAGE via WEST ST via 6 AV,0,SIM70082
SIM7,YU_B1-Weekday,YU_B1-Weekday-049500_SIM9_1,GREENWICH VILLAGE via WEST ST via 6 AV,0,SIM70082
SIM7,YU_B1-Weekday,YU_B1-Weekday-051000_MISC_125,GREENWICH VILLAGE via WEST ST via 6 AV,0,SIM70082
SIM7,YU_B1-Weekday,YU_B1-Weekday-092000_MISC_156,ELTVLLE TRANS CTR via HYLAN via RICHMOND,1,SIM70095
SIM7,YU_B1-Weekday,YU_B1-Weekday-107500_SIM7_8,ELTVLLE TRANS CTR via HYLAN via RICHMOND,1,SIM70095
SIM7,YU_B1-Weekday,YU_B1-Weekday-099400_MISC_139,ELTVLLE TRANS CTR via HYLAN via RICHMOND,1,SIM70095
SIM7,YU_B1-Weekday,YU_B1-Weekday-046500_SIM6_2,GREENWICH VILLAGE via WEST ST via 6 AV,0,SIM70082
SIM7,YU_B1-Weekday,YU_B1-Weekday-042000_SIM7_8,GREENWICH VILLAGE via WEST ST via 6 AV,0,SIM70082
SIM7,YU_B1-Weekday,YU_B1-Weekday-030000_SIM7_1,GREENWICH VILLAGE via WEST ST via 6 AV,0,SIM70082
SIM7,YU_B1-Weekday,YU_B1-Weekday-031500_SIM7_2,GREENWICH VILLAGE via WEST ST via 6 AV,0,SIM70082
SIM7,YU_B1-Weekday,YU_B1-Weekday-035400_SIM7_3,GREENWICH VILLAGE via WEST ST via 6 AV,0,SIM70082
SIM7,YU_B1-Weekday,YU_B1-Weekday-036600_SIM7_4,GREENWICH VILLAGE via WEST ST via 6 AV,0,SIM70082
SIM7,YU_B1-Weekday,YU_B1-Weekday-048000_SIM10_5,GREENWICH VILLAGE via WEST ST via 6 AV,0,SIM70082
SIM7,YU_B1-Weekday,YU_B1-Weekday-095800_SIM7_2,ELTVLLE TRANS CTR via HYLAN via RICHMOND,1,SIM70095
SIM7,YU_B1-Weekday,YU_B1-Weekday-097000_SIM7_4,ELTVLLE TRANS CTR via HYLAN via RICHMOND,1,SIM70095
SIM7,YU_B1-Weekday,YU_B1-Weekday-098200_MISC_111,ELTVLLE TRANS CTR via HYLAN via RICHMOND,1,SIM70095
SIM7,YU_B1-Weekday,YU_B1-Weekday-100600_SIM7_5,ELTVLLE TRANS CTR via HYLAN via RICHMOND,1,SIM70095
SIM7,YU_B1-Weekday,YU_B1-Weekday-101700_MISC_123,ELTVLLE TRANS CTR via HYLAN via RICHMOND,1,SIM70095
SIM7,YU_B1-Weekday,YU_B1-Weekday-103700_SIM7_6,ELTVLLE TRANS CTR via HYLAN via RICHMOND,1,SIM70095
SIM7,YU_B1-Weekday,YU_B1-Weekday-106000_SIM7_7,ELTVLLE TRANS CTR via HYLAN via RICHMOND,1,SIM70095
SIM7,YU_B1-Weekday,YU_B1-Weekday-111000_MISC_158,ELTVLLE TRANS CTR via HYLAN via RICHMOND,1,SIM70095
SIM7,YU_B1-Weekday,YU_B1-Weekday-104700_SIM7_3,ELTVLLE TRANS CTR via HYLAN via RICHMOND,1,SIM70095
SIM7,YU_B1-Weekday,YU_B1-Weekday-109000_MISC_156,ELTVLLE TRANS CTR via HYLAN via RICHMOND,1,SIM70095
SIM7,YU_B1-Weekday,YU_B1-Weekday-113000_MISC_160,ELTVLLE TRANS CTR via HYLAN via RICHMOND,1,SIM70095
SIM7,YU_B1-Weekday,YU_B1-Weekday-090000_SIM7_1,ELTVLLE TRANS CTR via HYLAN via RICHMOND,1,SIM70095
SIM7,YU_B1-Weekday,YU_B1-Weekday-115000_MISC_189,ELTVLLE TRANS CTR via HYLAN via RICHMOND,1,SIM70095
SIM7,YU_B1-Weekday,YU_B1-Weekday-117000_MISC_181,ELTVLLE TRANS CTR via HYLAN via RICHMOND,1,SIM70095
SIM7,YU_B1-Weekday,YU_B1-Weekday-102700_MISC_126,ELTVLLE TRANS CTR via HYLAN via RICHMOND,1,SIM70095
SIM7,YU_B1-Weekday,YU_B1-Weekday-087000_MISC_126,ELTVLLE TRANS CTR via HYLAN via RICHMOND,1,SIM70095
SIM10,YU_B1-Weekday,YU_B1-Weekday-112000_MISC_162,ELTINGVILLE TRANS CTR via HYLAN via RICH,1,SIM100075
SIM6,YU_B1-Weekday,YU_B1-Weekday-043000_SIM6_17,MIDTOWN via 23 ST via MADISON AV,0,SIM60100
SIM6,YU_B1-Weekday,YU_B1-Weekday-095700_MISC_161,ELTVLLE TRANS CTR via F CAP BL via GFRDS,1,SIM60105
SIM6,YU_B1-Weekday,YU_B1-Weekday-101700_SIM6_5,ELTVLLE TRANS CTR via F CAP BL via GFRDS,1,SIM60105
SIM6,YU_B1-Weekday,YU_B1-Weekday-103300_SIM6_7,ELTVLLE TRANS CTR via F CAP BL via GFRDS,1,SIM60105
SIM6,YU_B1-Weekday,YU_B1-Weekday-090000_SIM6_9,ELTVLLE TRANS CTR via F CAP BL via GFRDS,1,SIM60105
