"service_id","date","exception_type"
"62ECC50D","20210820","1"
"62ECC50D","20210826","1"
"62ECC50D","20210827","1"
"62ECC50D","20210902","1"
"62ECC50D","20210903","1"
"79236F41","20210615","1"
"79236F41","20210616","1"
"79236F41","20210617","1"
"79236F41","20210618","1"
"79236F41","20210622","1"
"79236F41","20210623","1"
"79236F41","20210624","1"
"79236F41","20210625","1"
"79236F41","20210629","1"
"79236F41","20210630","1"
"79236F41","20210701","1"
"79236F41","20210702","1"
"79236F41","20210707","1"
"79236F41","20210708","1"
"79236F41","20210709","1"
"79236F41","20210713","1"
"79236F41","20210714","1"
"79236F41","20210715","1"
"79236F41","20210716","1"
"79236F41","20210720","1"
"79236F41","20210721","1"
"79236F41","20210722","1"
"79236F41","20210723","1"
"79236F41","20210727","1"
"79236F41","20210728","1"
"79236F41","20210729","1"
"79236F41","20210730","1"
"79236F41","20210803","1"
"79236F41","20210804","1"
"79236F41","20210805","1"
"79236F41","20210806","1"
"79236F41","20210810","1"
"79236F41","20210811","1"
"79236F41","20210812","1"
"79236F41","20210813","1"
"79236F41","20210817","1"
"79236F41","20210818","1"
"79236F41","20210819","1"
"79236F41","20210820","1"
"79236F41","20210824","1"
"79236F41","20210825","1"
"79236F41","20210826","1"
"79236F41","20210827","1"
"79236F41","20210831","1"
"79236F41","20210901","1"
"79236F41","20210902","1"
"79236F41","20210903","1"
"9B3D7859","20210617","1"
"9B3D7859","20210624","1"
"9B3D7859","20210701","1"
"9B3D7859","20210708","1"
"9B3D7859","20210715","1"
"9B3D7859","20210722","1"
"9B3D7859","20210729","1"
"9B3D7859","20210805","1"
"9B3D7859","20210812","1"
"9B3D7859","20210819","1"
"9B3D7859","20210826","1"
"9B3D7859","20210902","1"
"9C3B62A7","20210615","1"
"9C3B62A7","20210616","1"
"9C3B62A7","20210617","1"
"9C3B62A7","20210618","1"
"9C3B62A7","20210621","1"
"9C3B62A7","20210622","1"
"9C3B62A7","20210623","1"
"9C3B62A7","20210624","1"
"9C3B62A7","20210625","1"
"9C3B62A7","20210628","1"
"9C3B62A7","20210629","1"
"9C3B62A7","20210630","1"
