service_id,date,exception_type
BLE-Weekday-2-RAIL-23-06-1111100-,20230907,1
BLE-Weekday-2-RAIL-23-06-1111100-,20230908,1
BLE-Weekday-2-RAIL-23-06-1111100-,20230911,1
BLE-Weekday-2-RAIL-23-06-1111100-,20230912,1
BLE-Weekday-2-RAIL-23-06-1111100-,20230913,1
BLE-Weekday-2-RAIL-23-06-1111100-,20230914,1
BLE-Weekday-2-RAIL-23-06-1111100-,20230915,1
BLE-Weekday-2-RAIL-23-06-1111100-,20230918,1
BLE-Weekday-2-RAIL-23-06-1111100-,20230919,1
BLE-Weekday-2-RAIL-23-06-1111100-,20230920,1
BLE-Weekday-2-RAIL-23-06-1111100-,20230921,1
BLE-Weekday-2-RAIL-23-06-1111100-,20230922,1
BLE-Weekday-2-RAIL-23-06-1111100-,20230925,1
BLE-Weekday-2-RAIL-23-06-1111100-,20230926,1
BLE-Weekday-2-RAIL-23-06-1111100-,20230927,1
BLE-Weekday-2-RAIL-23-06-1111100-,20230928,1
BLE-Weekday-2-RAIL-23-06-1111100-,20230929,1
CCS-TRY-Saturday-0-BUS-23-06-0000010-,20230610,1
CCS-TRY-Saturday-0-BUS-23-06-0000010-,20230617,1
CCS-TRY-Saturday-0-BUS-23-06-0000010-,20230624,1
CCS-TRY-Saturday-0-BUS-23-06-0000010-,20230701,1
CCS-TRY-Saturday-0-BUS-23-06-0000010-,20230708,1
CCS-TRY-Saturday-0-BUS-23-06-0000010-,20230715,1
CCS-TRY-Saturday-0-BUS-23-06-0000010-,20230722,1
CCS-TRY-Saturday-0-BUS-23-06-0000010-,20230729,1
CCS-TRY-Saturday-0-BUS-23-06-0000010-,20230805,1
CCS-TRY-Saturday-0-BUS-23-06-0000010-,20230812,1
CCS-TRY-Saturday-0-BUS-23-06-0000010-,20230819,1
CCS-TRY-Saturday-0-BUS-23-06-0000010-,20230826,1
CCS-TRY-Saturday-0-BUS-23-06-0000010-,20230902,1
CCS-TRY-Saturday-0-BUS-23-06-0000010-,20230909,1
CCS-TRY-Saturday-0-BUS-23-06-0000010-,20230916,1
CCS-TRY-Saturday-0-BUS-23-06-0000010-,20230923,1
CCS-TRY-Saturday-0-BUS-23-06-0000010-,20230930,1
CCS-TRY-Sunday-0-BUS-23-06-0000001-,20230611,1
CCS-TRY-Sunday-0-BUS-23-06-0000001-,20230618,1
CCS-TRY-Sunday-0-BUS-23-06-0000001-,20230625,1
CCS-TRY-Sunday-0-BUS-23-06-0000001-,20230702,1
CCS-TRY-Sunday-0-BUS-23-06-0000001-,20230704,1
CCS-TRY-Sunday-0-BUS-23-06-0000001-,20230709,1
CCS-TRY-Sunday-0-BUS-23-06-0000001-,20230716,1
CCS-TRY-Sunday-0-BUS-23-06-0000001-,20230723,1
CCS-TRY-Sunday-0-BUS-23-06-0000001-,20230730,1
CCS-TRY-Sunday-0-BUS-23-06-0000001-,20230806,1
CCS-TRY-Sunday-0-BUS-23-06-0000001-,20230813,1
CCS-TRY-Sunday-0-BUS-23-06-0000001-,20230820,1
CCS-TRY-Sunday-0-BUS-23-06-0000001-,20230827,1
CCS-TRY-Sunday-0-BUS-23-06-0000001-,20230903,1
CCS-TRY-Sunday-0-BUS-23-06-0000001-,20230904,1
CCS-TRY-Sunday-0-BUS-23-06-0000001-,20230910,1
CCS-TRY-Sunday-0-BUS-23-06-0000001-,20230917,1
CCS-TRY-Sunday-0-BUS-23-06-0000001-,20230924,1
CCS-TRY-Sunday-0-BUS-23-06-0000001-,20231001,1
CCS-TRY-Weekday-0-BUS-23-06-1111100-,20230605,1
CCS-TRY-Weekday-0-BUS-23-06-1111100-,20230606,1
CCS-TRY-Weekday-0-BUS-23-06-1111100-,20230607,1
CCS-TRY-Weekday-0-BUS-23-06-1111100-,20230608,1
CCS-TRY-Weekday-0-BUS-23-06-1111100-,20230609,1
CCS-TRY-Weekday-0-BUS-23-06-1111100-,20230612,1
CCS-TRY-Weekday-0-BUS-23-06-1111100-,20230613,1
CCS-TRY-Weekday-0-BUS-23-06-1111100-,20230614,1
CCS-TRY-Weekday-0-BUS-23-06-1111100-,20230615,1
CCS-TRY-Weekday-0-BUS-23-06-1111100-,20230616,1
CCS-TRY-Weekday-0-BUS-23-06-1111100-,20230619,1
CCS-TRY-Weekday-0-BUS-23-06-1111100-,20230620,1
CCS-TRY-Weekday-0-BUS-23-06-1111100-,20230621,1
CCS-TRY-Weekday-0-BUS-23-06-1111100-,20230622,1
CCS-TRY-Weekday-0-BUS-23-06-1111100-,20230623,1
CCS-TRY-Weekday-0-BUS-23-06-1111100-,20230626,1
CCS-TRY-Weekday-0-BUS-23-06-1111100-,20230627,1
CCS-TRY-Weekday-0-BUS-23-06-1111100-,20230628,1
CCS-TRY-Weekday-0-BUS-23-06-1111100-,20230629,1
CCS-TRY-Weekday-0-BUS-23-06-1111100-,20230630,1
CCS-TRY-Weekday-0-BUS-23-06-1111100-,20230703,1
CCS-TRY-Weekday-0-BUS-23-06-1111100-,20230705,1
CCS-TRY-Weekday-0-BUS-23-06-1111100-,20230706,1
CCS-TRY-Weekday-0-BUS-23-06-1111100-,20230707,1
CCS-TRY-Weekday-0-BUS-23-06-1111100-,20230710,1
CCS-TRY-Weekday-0-BUS-23-06-1111100-,20230711,1
CCS-TRY-Weekday-0-BUS-23-06-1111100-,20230712,1
CCS-TRY-Weekday-0-BUS-23-06-1111100-,20230713,1
CCS-TRY-Weekday-0-BUS-23-06-1111100-,20230714,1
CCS-TRY-Weekday-0-BUS-23-06-1111100-,20230717,1
CCS-TRY-Weekday-0-BUS-23-06-1111100-,20230718,1
CCS-TRY-Weekday-0-BUS-23-06-1111100-,20230719,1
CCS-TRY-Weekday-0-BUS-23-06-1111100-,20230720,1
CCS-TRY-Weekday-0-BUS-23-06-1111100-,20230721,1
