"route_id","service_id","trip_id","trip_headsign","trip_short_name","direction_id","shape_id"
"6","C0F43128","GO701_21_852","Long Beach","852","0","1EFB3B6D"
"6","C0F43128","GO701_21_853","Penn Station","853","1","1EFB3B6D"
"6","C0F43128","GO701_21_855","Penn Station","855","1","1EFB3B6D"
"6","C0F43128","GO701_21_857","Penn Station","857","1","1EFB3B6D"
"6","C0F43128","GO701_21_858","Long Beach","858","0","1EFB3B6D"
"6","C0F43128","GO701_21_860","Long Beach","860","0","00521DFC"
"6","C0F43128","GO701_21_861","Penn Station","861","1","1EFB3B6D"
"6","C0F43128","GO701_21_862","Long Beach","862","0","1EFB3B6D"
"6","C0F43128","GO701_21_863","Atlantic Terminal","863","1","00521DFC"
"6","C0F43128","GO701_21_864","Long Beach","864","0","1EFB3B6D"
"6","C0F43128","GO701_21_865","Penn Station","865","1","1EFB3B6D"
"6","C0F43128","GO701_21_867","Atlantic Terminal","867","1","77C0EF3A"
"6","C0F43128","GO701_21_868","Long Beach","868","0","9AE1B4A5"
"6","C0F43128","GO701_21_870","Long Beach","870","0","1EFB3B6D"
"12","C0F43128","GO701_21_871","Atlantic Terminal","871","1","76789C63"
"6","C0F43128","GO701_21_873","Penn Station","873","1","1EFB3B6D"
"6","C0F43128","GO701_21_874","Long Beach","874","0","77C0EF3A"
"6","C0F43128","GO701_21_875","Penn Station","875","1","1EFB3B6D"
"6","C0F43128","GO701_21_876","Long Beach","876","0","1EFB3B6D"
"6","C0F43128","GO701_21_877","Penn Station","877","1","1EFB3B6D"
"6","C0F43128","GO701_21_878","Long Beach","878","0","1EFB3B6D"
"6","C0F43128","GO701_21_879","Penn Station","879","1","1EFB3B6D"
"6","C0F43128","GO701_21_882","Long Beach","882","0","77C0EF3A"
"6","C0F43128","GO701_21_884","Long Beach","884","0","1EFB3B6D"
"6","C0F43128","GO701_21_886","Long Beach","886","0","00521DFC"
"6","C0F43128","GO701_21_888","Long Beach","888","0","1EFB3B6D"
"6","C0F43128","GO701_21_890","Long Beach","890","0","00521DFC"
"6","C0F43128","GO701_21_892","Long Beach","892","0","1EFB3B6D"
"6","C0F43128","GO701_21_896","Long Beach","896","0","1EFB3B6D"
"6","C0F43128","GO701_21_898","Long Beach","898","0","9AE1B4A5"
"8","C0F43128","GO701_21_900","West Hempstead","900","0","DCBA2852"
"8","C0F43128","GO701_21_901","Valley Stream","901","1","DCBA2852"
"8","C0F43128","GO701_21_903","Atlantic Terminal","903","1","3AF9F7BC"
"8","C0F43128","GO701_21_904","West Hempstead","904","0","03F849CB"
"8","C0F43128","GO701_21_907","Penn Station","907","1","C45C3C8F"
"8","C0F43128","GO701_21_909","Atlantic Terminal","909","1","3AF9F7BC"
"8","C0F43128","GO701_21_910","West Hempstead","910","0","DCBA2852"
"8","C0F43128","GO701_21_911","Valley Stream","911","1","DCBA2852"
"8","C0F43128","GO701_21_913","Valley Stream","913","1","DCBA2852"
"8","C0F43128","GO701_21_950","West Hempstead","950","0","DCBA2852"
"8","C0F43128","GO701_21_951","Valley Stream","951","1","DCBA2852"
"8","C0F43128","GO701_21_952","West Hempstead","952","0","DCBA2852"
"8","C0F43128","GO701_21_953","Atlantic Terminal","953","1","03F849CB"
"8","C0F43128","GO701_21_954","West Hempstead","954","0","DCBA2852"
"12","C0F43128","GO701_21_955","Atlantic Terminal","955","1","76789C63"
"8","C0F43128","GO701_21_956","West Hempstead","956","0","03F849CB"
